id,column,noise_type,injected_value,note
3,age,missing_value,null,
8,salary,missing_value,NA,
15,join_date,missing_value,N/A,
21,department,missing_value,NA,
26,email,missing_value,NA,
34,phone,missing_value,-,
41,gender,missing_value,NA,
49,performance_score,missing_value,None,
56,full_name,missing_value,?,
61,age,missing_value,?,
4,age,format_noise,twenty five,
10,age,format_noise,twenty five,
45,performance_score,format_noise,N/A25,
5,salary,format_noise,"20,000,000 VND",
17,salary,format_noise,50k,
53,salary,format_noise,50k,
6,email,format_noise,huynh.phong@@gmail.com,
18,email,format_noise,pham.dung @gmail.com,
30,email,format_noise,dang.an @gmail.com,
42,email,format_noise,vu.son @gmail.com,
64,email,format_noise,vo.dung @gmail.com,
7,phone,format_noise,+5-invalid,
19,phone,format_noise,09abcde123,
31,phone,format_noise,06655,
43,phone,format_noise,+2-invalid,
65,phone,format_noise,0794-794-8972,
9,join_date,format_noise,10/11/2023,
20,join_date,format_noise,20/07/2018,
32,join_date,format_noise,2015-04-45,
44,join_date,format_noise,2017-13-10,
66,join_date,format_noise,unknown,
11,age,out_of_range,-5,
12,age,out_of_range,250,
36,age,out_of_range,0,
46,performance_score,out_of_range,150,
47,performance_score,out_of_range,-20,
13,salary,out_of_range,-1000000,
14,salary,outlier,500000000,
16,salary,outlier,100000,
37,performance_score,outlier,5.0,
38,performance_score,outlier,99.9,
39,age,outlier,95,
22,gender,inconsistent_category,MALE,
23,gender,inconsistent_category,MALE,
24,gender,inconsistent_category,Male ,
48,gender,inconsistent_category,FEMALE,
67,gender,inconsistent_category,M,
71,gender,inconsistent_category,male,
25,department,inconsistent_category, HR,
27,department,inconsistent_category,finance,
28,department,inconsistent_category, HR,
50,department,inconsistent_category,it,
68,department,inconsistent_category, HR,
72,department,inconsistent_category,hr,
29,full_name,whitespace_noise,  Vu Khanh	,
40,full_name,whitespace_noise,  Pham Thao	,
51,full_name,whitespace_noise,  Vo An	,
69,full_name,whitespace_noise,  Pham Em	,
33,full_name,special_character_noise,Tran Oanh###,
52,full_name,special_character_noise,Nguyen Yen###,
1,ALL,duplicate_row,duplicate of row_index_0based=0,exact duplicate row appended
11,ALL,duplicate_row,duplicate of row_index_0based=10,exact duplicate row appended
21,ALL,duplicate_row,duplicate of row_index_0based=20,exact duplicate row appended
6,id,duplicate_id_conflicting_data,same id as row_index_0based=5 but different attributes,duplicate key with contradictory values
