id,column,noise_type,injected_value,note
84,salary,missing_value,null,
99,full_name,missing_value,-,
116,age,missing_value,N/A,
17,gender,missing_value,?,
210,age,missing_value,None,
8,gender,missing_value,None,
139,age,missing_value,N/A,
212,email,missing_value,null,
114,gender,missing_value,NA,
104,email,missing_value,null,
105,join_date,missing_value,null,
34,email,missing_value,None,
91,age,missing_value,?,
225,join_date,missing_value,null,
251,full_name,missing_value,,
167,salary,missing_value,N/A,
235,join_date,missing_value,null,
127,gender,missing_value,NA,
219,full_name,missing_value,,
208,join_date,missing_value,null,
22,department,missing_value,null,
195,salary,missing_value,NA,
161,phone,missing_value,?,
202,join_date,missing_value,?,
293,salary,missing_value,,
275,salary,missing_value,?,
269,full_name,missing_value,?,
20,phone,missing_value,,
297,email,format_noise,huynh.phong@@gmail.com,
218,phone,format_noise,0794-794-8972,
289,phone,format_noise,+5-invalid,
88,join_date,format_noise,unknown,
215,salary,format_noise,"20,000,000 VND",
216,join_date,format_noise,unknown,
27,phone,format_noise,0794-794-8972,
95,phone,format_noise,+5-invalid,
188,join_date,format_noise,10/11/2023,
82,salary,format_noise,abc,
90,email,format_noise,no-at-symbol.com,
80,performance_score,format_noise,9O,
100,salary,format_noise,"20,000,000 VND",
31,salary,format_noise,"20,000,000 VND",
239,age,format_noise,3O,
174,email,format_noise,huynh.phong@@gmail.com,
175,salary,format_noise,"20,000,000 VND",
205,performance_score,format_noise,9O,
299,join_date,format_noise,2017-13-10,
273,email,format_noise,huynh.phong@@gmail.com,
128,age,format_noise,twenty five,
79,phone,format_noise,09abcde123,
177,salary,format_noise,abc,
52,email,format_noise,no-at-symbol.com,
36,performance_score,format_noise,9O,
256,performance_score,format_noise,9O,
39,join_date,format_noise,2015-04-45,
57,phone,format_noise,06655,
1,age,format_noise,twenty five,
176,email,format_noise,pham.dung @gmail.com,
121,salary,out_of_range,-500000,
284,performance_score,out_of_range,-20,
124,performance_score,out_of_range,150,
261,performance_score,out_of_range,150,
23,performance_score,out_of_range,150,
244,age,out_of_range,-5,
138,salary,out_of_range,-500000,
267,salary,out_of_range,-500000,
172,salary,out_of_range,-500000,
21,age,out_of_range,300,
94,performance_score,out_of_range,999,
150,performance_score,out_of_range,-20,
45,salary,out_of_range,-1000000,
42,performance_score,out_of_range,150,
224,performance_score,out_of_range,-20,
274,age,out_of_range,-5,
44,age,outlier,95,
9,salary,outlier,480000000,
158,age,outlier,91,
213,performance_score,outlier,5.0,
270,performance_score,outlier,99.9,
250,age,outlier,88,
288,performance_score,outlier,5.0,
70,salary,outlier,100000,
271,performance_score,outlier,99.5,
207,age,outlier,88,
144,age,outlier,95,
143,salary,outlier,480000000,
14,performance_score,outlier,99.9,
117,age,outlier,91,
122,performance_score,outlier,5.0,
190,age,outlier,95,
178,department,inconsistent_category, HR,
59,gender,inconsistent_category,FEMALE,
231,gender,inconsistent_category,FEMALE,
166,department,inconsistent_category,SALES,
194,gender,inconsistent_category,male,
125,department,inconsistent_category,finance,
168,gender,inconsistent_category,FEMALE,
286,department,inconsistent_category,SALES,
152,gender,inconsistent_category,FEMALE,
272,department,inconsistent_category, HR,
24,department,inconsistent_category,finance,
189,department,inconsistent_category,hr,
110,department,inconsistent_category,finance,
203,department,inconsistent_category,finance,
263,gender,inconsistent_category,FEMALE,
247,gender,inconsistent_category,Male ,
115,gender,inconsistent_category,M,
200,gender,inconsistent_category,M,
294,gender,inconsistent_category,Male ,
6,department,inconsistent_category,hr,
74,department,inconsistent_category,Marketting,
209,department,inconsistent_category,finance,
249,gender,inconsistent_category,male,
123,gender,inconsistent_category,Male ,
300,full_name,whitespace_noise,  Dang Phuong	,
15,full_name,whitespace_noise,  Do Hoa	,
184,full_name,whitespace_noise,  Huynh Xuan	,
155,full_name,whitespace_noise,  Ho Binh	,
295,full_name,whitespace_noise,  Nguyen Anh	,
217,full_name,whitespace_noise,  Dang Xuan	,
49,full_name,whitespace_noise,  Hoang Thao	,
3,full_name,whitespace_noise,  Ho Phuong	,
129,full_name,whitespace_noise,  Pham Quan	,
18,full_name,whitespace_noise,  Phan Van	,
298,full_name,whitespace_noise,Bui Phuong###,special_character_noise
257,full_name,whitespace_noise,Bui Yen###,special_character_noise
43,full_name,whitespace_noise,Bui Loan###,special_character_noise
142,full_name,whitespace_noise,Bui Oanh###,special_character_noise
198,full_name,whitespace_noise,Vu Nam###,special_character_noise
26,full_name,whitespace_noise,Huynh Binh###,special_character_noise
50,full_name,whitespace_noise,Bui Truc###,special_character_noise
229,full_name,whitespace_noise,Hoang Ha###,special_character_noise
137,ALL,duplicate_row,duplicate of id=137,exact duplicate row appended
11,ALL,duplicate_row,duplicate of id=11,exact duplicate row appended
259,ALL,duplicate_row,duplicate of id=259,exact duplicate row appended
287,ALL,duplicate_row,duplicate of id=287,exact duplicate row appended
92,ALL,duplicate_row,duplicate of id=92,exact duplicate row appended
145,ALL,duplicate_row,duplicate of id=145,exact duplicate row appended
87,ALL,duplicate_row,duplicate of id=87,exact duplicate row appended
85,ALL,duplicate_row,duplicate of id=85,exact duplicate row appended
135,id,duplicate_id_conflicting_data,same id as id=135,duplicate key with contradictory values
132,id,duplicate_id_conflicting_data,same id as id=132,duplicate key with contradictory values
252,id,duplicate_id_conflicting_data,same id as id=252,duplicate key with contradictory values
151,id,duplicate_id_conflicting_data,same id as id=151,duplicate key with contradictory values
206,id,duplicate_id_conflicting_data,same id as id=206,duplicate key with contradictory values
