id,full_name,age,gender,email,department,salary,join_date,phone,performance_score
95,Le Oanh,51,Female,le.oanh687@gmail.com,Finance,21412000.0,2017-07-21,0375679047,77.7
39,Vu Uyen,95,Female,vu.uyen294@gmail.com,IT,21756000.0,2024-10-21,0772409658,69.9
94,Vo Linh,48,Male,vo.linh144@gmail.com,Sales,38280000.0,2019-08-04,0341514326,89.9
46,Le Hoa,46,Male,le.hoa724@gmail.com,IT,10055000.0,2021-06-18,0865804273,150
73,Vo Linh,47,Male,vo.linh466@gmail.com,Sales,18065000.0,2020-02-25,0879067939,87.1
90,Nguyen Viet,45,Male,nguyen.viet93@gmail.com,HR,18455000.0,2021-03-07,0582398083,89.4
16,Tran Minh,23,Male,tran.minh603@gmail.com,IT,100000,2015-04-03,0354349361,53.2
24,Bui Hoa,59,Male ,bui.hoa635@gmail.com,Sales,21415000.0,2024-10-17,0744999379,59.2
84,Tran Quynh,32,Female,tran.quynh926@gmail.com,Sales,9472000.0,2015-05-12,0767805802,56.6
1,Tran An,39,Male,tran.an229@gmail.com,IT,31567000.0,2023-02-19,0814265799,51.3
70,Vo Linh,47,Female,vo.linh513@gmail.com,Finance,23801000.0,2016-10-02,0853261270,77.2
9,Dang Khanh,59,Female,dang.khanh920@gmail.com,Finance,20781000.0,10/11/2023,0822201654,84.0
8,Tran Giang,58,Female,tran.giang218@gmail.com,Marketing,NA,2022-03-09,0543101783,83.5
34,Pham Oanh,43,Female,pham.oanh886@gmail.com,Sales,38940000.0,2019-06-21,-,80.6
6,Huynh Phong,45,Female,huynh.phong@@gmail.com,HR,30458000.0,2016-10-21,0581691040,82.8
7,Le Quynh,46,Female,le.quynh948@gmail.com,Finance,15028000.0,2020-01-08,+5-invalid,68.1
35,Dang Minh,23,Male,dang.minh899@gmail.com,HR,13714000.0,2019-01-04,0968326160,65.6
2,Pham Hoa,54,Male,pham.hoa575@gmail.com,IT,30913000.0,2023-07-08,0889089901,62.5
55,Vu Nam,26,Female,vu.nam13@gmail.com,Marketing,34315000.0,2016-07-12,0830534124,69.6
72,Bui Phuc,53,Male,bui.phuc482@gmail.com,hr,21067000.0,2020-11-04,0554265498,68.5
81,Le Son,24,Male,le.son515@gmail.com,Finance,18624000.0,2016-08-04,0971327848,50.7
13,Dang An,60,Female,dang.an501@gmail.com,Sales,-1000000,2020-05-08,0342329237,89.5
17,Pham Khanh,53,Male,pham.khanh553@gmail.com,IT,50k,2024-10-16,0573481353,86.3
78,Bui Thao,30,Male,bui.thao283@gmail.com,Marketing,18876000.0,2023-05-27,0347962005,82.7
36,Huynh Phuc,0,Male,huynh.phuc395@gmail.com,Finance,14083000.0,2015-12-14,0379782527,91.7
28,Le Khanh,40,Male,le.khanh735@gmail.com, HR,14515000.0,2019-09-16,0716818112,54.2
50,Le Binh,38,Female,le.binh336@gmail.com,it,22550000.0,2020-07-09,0843859311,87.6
58,Huynh Khanh,60,Female,huynh.khanh570@gmail.com,Sales,24532000.0,2018-02-08,0875575808,75.0
61,Pham Minh,?,Male,pham.minh197@gmail.com,IT,31635000.0,2019-12-19,0990099897,62.7
27,Hoang Yen,55,Male,hoang.yen684@gmail.com,finance,17580000.0,2016-03-09,0324366125,83.4
