id,full_name,age,gender,email,department,salary,join_date,phone,performance_score
193,Dinh Duc,56,Female,dinh.duc686@gmail.com,IT,38000000.0,2019-02-13,0089899217,57.8
87,Pham Yen,31,Male,pham.yen139@gmail.com,HR,38000000.0,2017-12-16,0790104328,92.3
46,Duong Xuan,60,Female,duong.xuan126@gmail.com,Sales,22000000.0,2024-10-01,0490278742,94.9
273,Bui Dung,51,Female,huynh.phong@@gmail.com,Finance,39000000.0,2018-06-01,0208021442,82.2
153,Vu Hung,57,Female,vu.hung518@gmail.com,Marketing,34000000.0,2022-08-06,0190340438,63.0
204,Vu Yen,36,Female,vu.yen787@gmail.com,HR,40000000.0,2019-03-27,0824172482,92.6
113,Dang Em,28,Male,dang.em348@gmail.com,Sales,22000000.0,2018-01-04,0657120826,79.4
6,Phan Dat,38,Female,phan.dat697@gmail.com,hr,31000000.0,2018-03-17,0710122691,67.3
244,Le Vinh,-5,Female,le.vinh328@gmail.com,Finance,33000000.0,2020-06-16,0790827231,73.2
206,Vu Truc,29,Female,vu.truc642@gmail.com,HR,34000000.0,2015-03-05,0356972521,71.9
130,Truong Xuan,35,Female,truong.xuan420@gmail.com,Marketing,10000000.0,2024-04-24,0204899642,58.8
199,Vu Hoa,37,Male,vu.hoa567@gmail.com,Sales,31000000.0,2018-05-12,0786103579,70.1
70,Ho Kim,45,Male,ho.kim880@gmail.com,HR,100000,2021-09-25,0998094024,81.6
246,Tran Em,58,Male,tran.em237@gmail.com,Finance,10000000.0,2024-03-02,0242869904,92.6
41,Hoang Thanh,28,Male,hoang.thanh687@gmail.com,HR,38000000.0,2022-08-11,0204711671,76.0
214,Bui Quyen,51,Male,bui.quyen202@gmail.com,IT,10000000.0,2019-06-26,0561100225,66.1
13,Ly Phong,26,Female,ly.phong927@gmail.com,Finance,14000000.0,2015-11-18,0013267736,90.6
162,Hoang Giang,26,Male,hoang.giang724@gmail.com,IT,36000000.0,2020-12-07,0269731121,76.5
83,Truong Lan,36,Male,truong.lan258@gmail.com,Sales,26000000.0,2016-09-25,0880592962,57.3
213,Vu Quan,43,Male,vu.quan102@gmail.com,Sales,13000000.0,2016-10-22,0721811437,5.0
60,Ngo Oanh,38,Male,ngo.oanh565@gmail.com,HR,24000000.0,2024-07-27,0513709859,60.0
52,Vo Loan,46,Male,no-at-symbol.com,Marketing,10000000.0,2020-12-16,0662702895,89.1
242,Hoang Nam,32,Male,hoang.nam679@gmail.com,Finance,17000000.0,2022-06-02,0373145303,73.3
188,Truong Loan,36,Male,truong.loan562@gmail.com,Sales,10000000.0,10/11/2023,0411526218,92.4
257,Bui Yen###,29,Female,bui.yen997@gmail.com,Finance,24000000.0,2022-07-19,0735779071,61.6
138,Phan Hung,49,Male,phan.hung796@gmail.com,Finance,-500000,2016-10-10,0311426265,66.2
12,Ho Long,48,Female,ho.long984@gmail.com,Sales,14000000.0,2015-07-24,0513338726,58.3
90,Truong Linh,46,Female,no-at-symbol.com,Sales,30000000.0,2016-06-08,0195205852,87.4
18,  Phan Van	,28,Male,phan.van370@gmail.com,Sales,14000000.0,2023-03-09,0493534874,90.7
51,Dinh Son,22,Female,dinh.son843@gmail.com,HR,39000000.0,2017-08-18,0755886753,94.1
216,Huynh Chi,48,Female,huynh.chi921@gmail.com,Finance,36000000.0,unknown,0590277167,52.1
136,Tran Anh,39,Male,tran.anh283@gmail.com,HR,9000000.0,2018-10-05,0614293968,64.9
280,Bui Quyen,56,Female,bui.quyen564@gmail.com,Sales,40000000.0,2021-12-06,0095935186,58.5
43,Bui Loan###,25,Male,bui.loan881@gmail.com,IT,21000000.0,2019-11-03,0232812067,81.0
171,Tran Minh,26,Female,tran.minh986@gmail.com,HR,27000000.0,2020-02-18,0705349493,70.9
259,Dang Khanh,34,Female,dang.khanh854@gmail.com,IT,23000000.0,2018-05-07,0333952111,80.4
239,Duong Ha,3O,Female,duong.ha352@gmail.com,IT,35000000.0,2019-06-05,0577754781,57.9
28,Phan Phuong,42,Female,phan.phuong727@gmail.com,Finance,35000000.0,2023-08-06,0774348734,69.8
164,Dinh Lan,47,Female,dinh.lan761@gmail.com,Sales,23000000.0,2022-07-04,0379180552,67.4
97,Ly Binh,42,Female,ly.binh826@gmail.com,Sales,26000000.0,2019-03-23,0258313237,51.2
66,Dinh Van,51,Male,dinh.van162@gmail.com,Marketing,33000000.0,2021-11-04,0771159212,62.4
62,Hoang Duc,28,Female,hoang.duc730@gmail.com,Marketing,25000000.0,2015-12-12,0377351585,52.7
110,Vu Duc,54,Female,vu.duc993@gmail.com,finance,16000000.0,2023-04-18,0578652785,74.6
25,Duong Hung,33,Female,duong.hung515@gmail.com,Finance,8000000.0,2019-05-07,0699577738,71.3
137,Hoang Binh,54,Female,hoang.binh154@gmail.com,Sales,35000000.0,2018-02-11,0999650477,60.3
192,Ly Phuc,38,Male,ly.phuc957@gmail.com,HR,11000000.0,2017-12-22,0115869380,87.8
277,Do Oanh,32,Female,do.oanh698@gmail.com,Sales,33000000.0,2018-01-02,0979251327,54.1
